item,user,rating
B008H54GVE,A2OIMJEGOCTQ87,4
B001NLISDG,A38KQZS5M1A8T8,4
B007S3S8HO,A1F5O1USOUOOXI,3
B008G6OOHA,A1FTZ5LLEX7NCM,4
B00A9JNR8E,A1R2JUOGIYH6HO,4
B00000JH3R,A2X7C89I7YRX1O,5
B000RXPU0U,A24BSKCWXC4M6D,5
B00DWXUYN0,A3JX1D26WFEXOS,5
B000E9DPVI,A2IWHA1XEYSPD6,5
B001EB9F3C,A2340917M1HHZ3,4
B00719LBEW,A3K150BGUET5KI,5
B00A850S5E,A2S6QCNNN8AK91,5
B006O6ETJM,AZIRQNN1YYSPB,2
B000S1KGGY,A1OQYD2Y1F02WU,5
B000TTNW98,A1WVO00PIPF8RA,5
B0006IRTU0,AYPNBWE2JQ0CA,5
B004VCT14Y,A34CSXOGVYF94S,3
B0057L9T0O,A2TKJW5BR3KN08,4
B0042RU0BQ,A1XG8IS1J7M2RQ,4
B00000IWIA,A1ODOGXEYECQQ8,4
B00712O4XE,AEBCNWTNKO9Q,5
B000EQGT00,A3F82G2IXMJEGO,1
B004U52VPS,AJGU56YG8G1DQ,5
B001G60J1M,AD27O6TXNVMVL,5
B002WBBZVS,ABFJUYIFAXX1A,5
B007RKZJ1G,A33L621NTGEXR0,5
B007RTFZKM,A1BMMYH2E35321,3
B009SEOV40,A39IDAUEE4VEFZ,5
B001E3B9J8,AJGU56YG8G1DQ,5
B0057067SC,A2UG0R9LUL2N1Z,4
B0038ANOC0,A3VKQD1UZ1A66Y,5
B006P135EQ,AXAJXJZUL2J5P,3
B000INSP6U,A2D42JDM0R0GMA,4
B000NTZL7U,A152XSHQSE5ZYX,5
B002RXWLBE,A1DUTLBEGOL9R3,3
B004WDCZHC,A1FGE1NI1O0AQ3,5
B004UC4RVM,A3JHC8O59WDHFZ,4
B0012TTHPM,A3AJWITG95EY0Q,5
B00C8086TC,A1CIW2OEVAJRM2,5
B000BR34ZA,A1FQNNX80WYWKR,5
B001VNUYKG,A1KGWUYXUBEMB2,4
B005AW0RNS,A186ME94HE4AHL,5
B001BS1U90,A141A7NBD1DOCX,5
B00DMC6KAC,A2XC7BWUEMSQMC,5
B00CHRHVE2,A1FOLORLUKPX49,5
B0000658L4,AQSU58L0QIE2G,5
B00BUO0AEQ,A2HPWNWR8795UE,4
B00D8VHIKI,A1H3RXPWFOUCHS,4
B008LQXR82,A3MOFEMVCEXJD9,5
B003DVB8NG,A2XPH2VRWXDCVC,5
B0057MGKO6,AAXVHEC465APO,4
B001TK3LO2,A3DIVGRTGZXPF8,5
B005E7A202,AXHPRJ7IHD26P,3
B003AVKIRG,A29MJ509ZST8JV,5
B008E190RG,A14WGMC75IYU3P,5
B003WFKOSS,A1H0P7ESJE2109,4
B006O6EIWK,A1D9TTIG3I1U0I,5
B004UIATJA,A2LIF95N23RT72,5
B00C6Q1Z6E,A21Y57O1N5PF15,3
B0049UVKM4,A14VE1EM6EIFLS,5
B00000IZW2,A1FWFCJU2G7TRA,3
B00192MRTA,A2OWRTAQK6500U,5
B00CRZXUZI,A2YCUCEYXT9VHX,4
B0058NUAMW,A2G0LV60V87OL5,5
B008CO80SA,ABD0XOLY5X73S,5
B007HZ9S7C,AQHKOA2S7BZ31,4
B001W3SWEU,ARPRME3WHO2I8,5
B002WDKA6W,AQDHIZZ0V6IKK,5
B000E7S48E,A243HGRMEUOTK7,5
B001B2TZV6,A2BD4PA680QAY1,4
B00000DMER,A2H6TAQB5ZOQKJ,5
B00AOG41SW,A3UW8GH4ACAPR7,1
B008W9IGP2,A1471IW2S85363,5
B006O6FKDG,A1QOCYXIM4VN5K,5
B0072BKZOQ,A8ZTRH5096CHD,3
B00003GPTI,A30H2335OM7RD6,5
B005KBU83S,A35CYV5JWJETWX,4
B000096PNA,AHNHLGKIZ2N3B,5
B001BKX0V4,A2TTLRMZIJG276,5
B0095XOPF4,A3EZIP6YQX5J8Q,4
B0006N8X3M,A10A3X3DM3DSWT,1
B006O6EH0I,A1JA7CPGDUO9K9,5
B0090HDOP2,AB3GJ41FTGR3S,4
B000GKXY66,A3CRVY7QFQGQ2B,5
B00DA1P93E,A3P6GP130QXTW4,3
B0002HL0BO,A38ZWVXP325P3Y,4
B0094J5G48,A2YDH7VIA1SHFG,5
B0050K0AQE,A3SA3Z5UCFY6YI,4
B003FW0YZG,A141WC0TY1PB6L,5
B0077NCEXE,A1ESSN3AWYWUTL,5
B00ARQW1E0,A32658HY8IU6UV,4
B00009AWM4,A3PMVTY03ME6M3,5
B0015FRC2I,ATTEBFVDTRQF3,5
B0043F2L46,A2WS6FMF750EI9,5
B004KL80ZW,A2X5BBZYZK5UID,5
B00G9GNUFQ,A2D2AORHOMU0CV,4
B000VXOUNY,A2F6DKMQYMI7F7,4
B00DPK11XM,A1GH30RILCPXF2,5
1933054395,A3O4B7VGPSAH76,5
B0007V1J7U,AE305Y6D0M5Z3,5
B000VO3GPG,A1E723A6KDXQJQ,5
B00A850W28,A2AEFJLAIDWRIR,3
B002YITFWK,AF8SREA2XE7BJ,5
B004SKX884,A1Z6L7IS6R7DZH,4
B000UEL172,A1XZ1LQMHG3KAZ,1
B000ICNZR0,A1M50TCAUWLIBS,5
B007IW0HME,A23971D63L3JVG,4
B004813L0S,A1XTN56OQ24Q0B,5
B00DW58ENU,A2HFA5XA46VRQZ,5
B004PAHZMC,A20OXF5QBZMKIB,5
B000FPCWXI,AMWMF38EWNKMT,5
B00CKH9NTU,A2AOZQ3WTNVVOK,3
B0085UA8ZE,A2TTHN1UMO82VY,2
B003BLQIQK,A2U5IS60A0YZOV,3
B007EA6PKS,A3RN5W5IWPMKHD,4
B002DHC6FA,A312UBIOP091MH,4
B000Z7NOXI,A38YG5WVWQXW2F,5
B003SE56EK,A1XLUZUATJ8IB4,5
B000NKH0E6,A3K3SE4RK846WO,5
B0038B7CXG,A3LZXB9WABL8M4,5
B000GKAU1I,A763Z2F0WMWRC,5
B00ARSDZIE,A3FBM0RMCMAABV,5
B006ROJQRG,A1NC9AGZOBI0M1,4
B0023TCKEK,A3M1R3JBR8I8DP,5
B001R6W4KA,AFQFQH2TVSNXH,5
B005R10GPG,A1LYD7SM76EHG7,5
B00008W72D,A2CSUA388LZ26O,5
B000IBPD76,AR979NPLE7587,5
B00804BDBI,A9LOS31C3AP3E,5
B0015KEB2M,A1O1FFS4I1XEE6,5
B000AM2K56,A177JBDKQ87LGM,4
B000NV9G88,AGBD6P8Y1E42A,5
B004P971L8,A2754K22J6Q5ET,5
B006EFMSSM,A251N5IFXCSBMF,4
B003AH6NJ2,AYVCC1AOW44CF,5
B001BS1U90,ADYR709YFUVPF,5
B001F8R6K8,A16K971QABELS7,5
B000BNB0VY,AZ9B75YQ1DTCB,5
B00146G71U,A31OWM7AVXWHAF,3
B0013JPVN8,AQFFA5JFDLQRS,2
B003A6IGLG,A3N2SK11B25XZK,5
B007J3ZYV6,A14HQZ9UYU2CGB,5
B001W32FHU,A1FU1UY55LM8FA,5
B001251326,A3T4SCT4SFIAO,5
B001V2KBIC,A1TX2N102JG27W,2
B000N5QNSK,A288KXQXYEX4UU,4
B00000DMFN,A3H5XBT2AGYKIJ,5
B002O064J0,AFRIWX8FP7L1P,5
B005MEDJ2K,A2UAFMHJCX2ZIP,5
B00B3YT030,AK8LRQAMSE3I7,4
B007CDENFG,A3FPTGF6TRQGA6,4
B00DGQQVPS,A3J3ZHGDUDPCFL,4
B007G3VBOI,A3LN4AOPBIUQWR,4
B00339P9ME,A1EGD8EGNINP52,4
B005O1BLV2,A1BPEOEXWUJ7KM,5
B000NGCUWM,AT28RL25Q2OLK,5
B007IG0TVO,A3DVO4RN4WA7A5,5
B002UHNWCE,A1VWQBOOGQV11W,5
B003BDKGPW,A2RTUZEUT87V92,5
B004P5O3VS,AVHJBWS73YGU4,5
B000BN8YWW,A27C84PT7QTJDC,5
B00AAPHZVW,AOE21NROMDWDV,5
B006WZLCZ4,A6L9KOTK81C0X,5
B00B1Z6DRM,A2HELIKP5RV27F,4
B007AR5268,A1A6LGM4ULJASA,5
B000MX7WBU,A2EDCCWQHF62B3,5
B00146G71K,ALAJBVJSU1Z0X,5
B003DTMQAC,APTL57YVNIY6Y,5
B000K8FYAS,A2CLCWLN7PZ3U6,4
B009F7OXCA,A13QOK3SKIT9QL,5
B0002KPGCU,AFZZ053NRHLI8,5
B00009KWV6,A21OUZBS4S164B,3
B001DY2EJM,A2U5IS60A0YZOV,5
B003H9MSP6,A2C27IQUH9N1Z,5
B000G99IJY,A168O2YKPE9BE8,5
B005XVCUMM,A3C8CJJB89BTEJ,5
B003AQBBW2,A26YPJT1BGZFOK,5
B00005N5FA,A2TA7NZO8PAEQ5,5
B004SUCPJW,A3PMAUQEHQ06GN,5
B00GSPF9QG,A3SSEALUGHTM28,5
B000GKE2N0,A23K8KKQAIW4VI,4
B0002HYD9A,A24ZFY45PF6BGA,2
B004EFZ8B8,A2ZY49IDE6TY5I,4
B00ABY8372,A2VH0UT5EQFB6P,3
B00CKH9FAC,A2BMZRO0H7TFCS,3
B00CDGV5UI,A1NRMTQ5SZPZA,4
B000NV9G88,A2MGLSYLCKIV67,1
B00DPK10O2,A26Y0SMLXSNVG7,4
B003Y5MKMO,A3JNS0IUUYEO5,5
B0002YDPY2,A11E0OKCD8WF7L,2
B004EJYAO0,A12YM9EH6RW6T6,4
B00AYDLM6Y,A1QIKQIBBIKGLD,5
B006O6EDB6,A2MALF1MJMUZFC,4
B000EOEAFI,A3FCGR4EK16XUF,5
B004H1V5S4,A2L0DIQSHJ1B1J,2
B007Q0OMF6,A3SAP1GZDBKENR,4
B0089RPUHE,A2H667ZUNLNTF1,5
B0015MMVA4,A18P98QS2M3K6Z,4
1616613793,A3JNVOV0L3UI0J,4
B006UBM1M8,A1VWIXAE6V6VK8,4
B008MJ62PI,AXVKMYWNIHK7W,5
B003ZFSOZU,A2SNBPR3PX7DAP,5
B003DWAD86,A5H8NA5CJ0FK4,5
B001W30D2O,A163GMNQRRSD50,5
B0085TY1C6,A2I7IN70M8EUWT,5
B007XPLI4M,A247VET7CP4K7J,4
B00C6PYGJ8,A1CJESS49I634W,5
B00777UEL4,A397CWU6DM3O5G,5
B00421AGGG,A3FPTGF6TRQGA6,4
B008F0SMUC,A1GQPAM8Y45QN7,5
B0006NGVOU,AMUJ9PFRADCIU,5
B00BU3ZLJQ,A1ZUQG0G6550I3,5
B00CI6JDIY,A2JKM8KF3296CW,5
B000GHVJPM,ALUV2YKWZENKK,3
B00000JIVS,AXK8UKPSYESNP,5
B004SGLDM6,A1UQUDT2Q0YENM,5
B00008BFZH,A3513M2E6P93SD,5
B0032VUUXG,A1S70O1A0WL6OH,5
B002RL7VX4,ANV76W9WWIB0V,5
B002BTQVLU,A2LNQTJUOT87MQ,5
B0070A9OUA,A27VLEC7KLWZN4,5
B0000AP6LD,A1J75JJ0Q2OEJN,4
B0085UA6YM,A1IDAKX7OM3QIE,4
B00CP4J7OY,A2RK3QEUEFRNAN,5
B0009KJ1LA,A2OTZBECSM02MJ,4
B004S65XDG,A2QX49LS3Y3ANI,4
B000A42YB4,A2ZM09SXQD77H0,5
B0018N5V3Y,A3TMBYDFP1B9DM,4
B000NVBE1A,A3NEAETOSXDBOM,5
B006CD3AG0,A3FGWBYH2TQMS8,5
B0077RKXWE,A2I06ZOE75TG07,4
0786964502,A2972GZNHEHUBB,5
B004SGORU6,A3V5WQYS10UENV,4
B0002VIVJO,A1C8SCIXBVXN57,5
B004Z7H14M,A127GZ51PD786F,3
B00CI6J8KW,A3IZNGVJM7SE9Z,3
B000SQTJJO,AZFHSPEZUPGD2,4
B009F7OV5E,A231LBC8EGPO5L,3
B001USFOOS,A1T2T3B7W9IDWK,5
B001613Q7Q,A3258AIQI17ZEU,5
B008LQXR8W,A18DDXBH5LLDM1,5
B0076O6G60,A3AGRXY3JYCIJ3,5
B0063OASAO,APWZW5NT2FTTE,4
B00AYP6I1G,A5K3CK2PWYQ7O,3
B00005BZKD,A3UX3UPNZT7LL1,5
B003YI45GA,A2E3SLY7H43FON,5
B0035YAG3Y,A1TQJ1ACOYI9M4,5
B00DOQCTVK,A3069BAWEOFI2J,5
B00008BR9T,A1GTFKOAZT8GQL,5
B005N9N4MO,A3K18IM154VJ9R,5
B000UHCZXI,A361L1YPBCQY3D,5
B00D9LWJXI,A45V752HS8PQI,2
B00388C3C4,A3IOKUGI4MLTCN,5
B00CS0F21M,A1QBYKF4JPYZX0,5
B00CS0F21M,A3CAIZ5D023DAO,5
B00005BVRQ,A220ZQQXMK8KKU,5
B0015399MG,A22S4C01D1O01K,5
B001TNVYVQ,A1CMD08Z49PGKQ,5
B0002HWFBS,A2SDRCBPIAXVDW,5
B000BTBDRE,A1336TTPYUZKXU,5
B006XG3NRC,ASD50AGQDJFFL,5
B005XUI7RK,A1IV6C1KWKTLJA,5
B009TN0EGE,A2XFJUAVUEHP7X,5
B00000IWH9,A2NVQZ4Y7Y0J1R,5
B001AGZXE6,A3234ITFF99TO2,4
B003ZJQMDM,A3H0M2L5J1MOUC,5
B003UOOZJ0,ATD9I008SY8PD,5
B009PLLF9K,A2DGDRVH2I0TP7,5
B000F49UY8,A1XX7L7E6F8Q9A,5
B000OCEWGW,AJGU56YG8G1DQ,5
B005N548KK,A30UIZJMFL9PLT,4
B007Q0OE9K,A2MTL1ZNGH6HDP,5
B007XVYSZW,A2R6688OH0M12T,5
B0075CYD3Q,A1DNJZA1GYO5P8,4
B0010XAJI4,A21BT40VZCCYT4,5
B0087RV2KK,A18GJ9MYYO6GCQ,5
B00004WHO4,A3RGOEOOBPEEE0,5
B00BIDJP2W,A1239Q1FAPXJ92,5
B000VO3GME,A1O402ZP60PD04,5
B00BQYR0MA,A3V5F050GVZ56Q,5
B00H5HFERA,A33230MIA3W7G4,4
B001KPKMKW,A1U7R3ARZUHQ3C,4
B004K3AHGU,ACGY24R6KT92P,4
B003TJALF8,A1VOCCA9CPGEON,5
B006O6F932,A10KHX41ONY4U1,5
B0090GWU7Q,A39DKG1ZQQ6C1W,5
B00DLUE8DQ,A27144YLL9MNQS,4
B00339STR6,A21I4MRM4H6FS6,3
B0077NGTDU,A37INBAU4KK75C,5
B008MTYWNC,AGVDI7RLT24WJ,3
B000HDC3QE,A2VGXB6X0L90S6,5
B0001GDP00,A1VTBADV3JS1EC,5
B000GZADU6,A9RSMV1C8Y8FH,5
B00G69QBA2,AHHUNTFQGUGX8,4
B004PS8M6W,A3OHWG8BVAPGFR,4
B005IFVY3Y,A10L132FI5QHV6,5
B000EUKRY0,A1Q1T811N4IY3Z,4
B0002HNNL4,A1F1A0QQP2XVH5,5
B00009VPJN,AZUH5XSJ2NLXR,5
B009VSNN74,A24HI9TB12WX3Q,5
B00CDGA6A8,A4D1N9RV4LVG4,5
B000CPGYQC,A3GDI9D0LPQNPT,5
B000KMHBFA,A2E0952ETT33TV,5
B00AHVIY46,A1QW9FTCT9HAIP,5
B001R6AFLK,A36EW68H08UOCS,5
B004XPIQIQ,ASXYJ4JSZCBRI,5
B000H6H4II,A13W9RXN8Z6F4J,5
B0002YDQBY,A1BAH8UZH8LMPF,4
B008RWVE8A,A2I52MRNFH8DIY,5
B00009YOQW,A3M6KV5PDU46YI,4
B0007ODGTQ,A1XY24RHJ0KT5W,3
B00144J9ZI,A381MT950I6KRL,4
B004PHTXW0,A16YU3GRGCD95S,4
B005JAE052,AY0HYITLBNC54,5
B00EDBZ9IA,A37E6RW5BUX4U0,4
B004P971L8,A1TKM36EYEQNSM,3
B004MTOO0C,A26UIADA3AI330,5
B009JYYXSI,A1103HJQTANPR,4
B000KI111Y,A1Y5LXGQORS9PV,3
B00CKH9UQQ,A2HMB1IEBSGSHJ,3
B008K19HUA,A2RAHVQXI12VGA,5
B000N5QNSK,A2CL9VARDYEKD5,1
B00FGQWK2O,A39O7Q6AT9DOTX,5
B000YLAOEW,A5WZB6J1NLEV0,1
B0089CH2YI,A3FRPOTKZBV0MK,5
B0094THAPQ,A1WSM2KPKNHC44,5
B006OA8UIY,A23WE733QT4WGJ,4
B000090W81,A3RZAM2K767L4H,5
B00AMI5FPU,A2FNJ6EZ80H1CQ,5
B007RDFNEG,A3LI3FBTL9FH47,5
B00439BG98,AABJQT78KJ9XR,4
B000I5HOPG,A2NMY860CJK313,5
B00134TC4M,A3VWAPQ6RZFS97,4
B009F7OS52,A3U5CZ3PV82JXD,3
B001JTE2KU,A30Y2EWCJGEU13,4
B0031P91LK,A2B4PPS66RJHO,5
B0006PJ0JG,A2TGIMHSVD878Q,5
B007UE75PW,A2TVH2OBNXYXHV,2
B003U0O3B4,A103PIRYKWQKR7,5
B00199LDRA,A1WSQ0QRWQC7VI,4
B004U52VPS,A2NBRQWA4ZR3C0,5
B007FRHZ4A,A3TWBW1B17R151,3
B004LKWP8K,A361L1YPBCQY3D,5
B004Y8LP2G,A3OVD3PWFCPKLY,5
B003153SCI,A29O2EJKP8O5VE,5
B001DY2EJM,A2IKMRNKQ12ZPT,5
B007XJE0W0,A3FGWBYH2TQMS8,4
B00BQYQYFY,AGQQH06BMQGK7,3
B004V3PS72,AP760ASLWPPEO,4
B0037UWNR8,AKKU8XDCEBJCW,5
B000GYUYC4,ALTOXJUG7CHFS,5
B00001TPYA,AEMSR4TMYD2ZA,3
B004MWJLFC,A1IA3XI3O0N5RA,5
B004QJLA9Q,A5I03TZD4J96V,5
B004O0TOX6,A2VAD79S4A06DD,5
B00CQ9T38I,A155QA39EUWU5W,5
B001617RW6,A24JE2BKC1P9T6,5
B000GKATU0,AP1Y4KSKI2KMO,5
B001TK3LUG,A6LUXI8I8BU6P,5
B004ORWWP6,A3DA1LIVA6ICI,3
B00385MZVG,A114TMHW9GRMPB,4
B00BV1OSZA,A19LLI6RU662B8,3
B003552MKS,A3D0PALWMQ02HN,5
B008HYGFJG,A3CVOTOEF67QB7,2
B003UM79EU,A1YUWK0O71JG0W,5
B0074ER1N4,ACJWWWSYDWR8T,4
B000NV6D16,A2L8MCAGWB84AE,4
B0090GWT1I,A6VSWJVTWEOII,5
B002AHOY94,A3EM243NDJ4DF3,5
B004UU9W6E,A1GA3XYWVS0O1,5
B00DH9UU6A,A3F67YZNFDY6YI,3
B0045H0L1W,A1I04FUHARXJWN,5
B00376VW7Y,A13DWJT2LNSMRP,5
B0007KK0V2,A12L59NPZYEHCY,3
B0002UP0IA,A5LYCROZZUJNC,4
B007IW8FPA,ANU2UXMA3XT65,4
B0040GK7I0,AZKGCE3LNX7WB,4
B002SQW38Q,A11PBW07NQR2NR,5
B00AYDLM6Y,A16PUD6V3KAZ0Q,1
B004K03JWW,A31E43GJMM8WLI,5
B000LPF018,A29S81ESUZDA5K,5
B00383LP8M,A2EO9QEEX1CKTC,5
B0040MERJY,A2V8J7M9N87AKZ,5
B002DHC6FA,A1ZZR25X0CNOJX,3
B009ZTUFP2,A3CEUT263RNUDO,4
B000058A39,AUZBLLADH6U14,3
B002YHPC1O,A20WLZXTRI3EZ4,4
B00000IWGQ,A2XJ39LA9J5N74,4
B00C74I9P0,A30LAVLDNH4JR0,3
B000067QWM,A2A85E898HCMPE,5
B0040GK7MG,AX7317G153T8W,5
B00381A1KW,A1C1JPO1K2MG36,5
B00000IV95,A26P36TZEES9HD,5
B0001LATN6,A300HB9HYDP68X,3
B005YGWR4W,A3094EPI56GKZ6,4
B000EQGT00,A34Q4EQENBHPN7,4
B00008BR9T,A11X9HWN09P7MC,5
B0008GMGZ8,AK65APA9ILAR0,4
B0009XBY3A,A3CYVMVOTQHYYL,5
B009WLPEJA,A157XIAC7WR9OZ,4
B001JYEWH8,A26Q45BG5BVHIQ,4
B0090BZBSQ,A2BQ60C7U39UDG,5
B002WJI60S,A11VQ0T0RHR4BC,5
B00AZR0IPA,A1G2GANGY9WK2B,5
B00DKCI1P6,A3QNG5ZWWTPAW8,4
B00DD1OQIK,A1W3QGIQL9KFJA,5
B0001LATN6,A2OPGWLHO5YIFX,5
B00007L11O,ASDG1LT7CKT8Y,5
B003YC9570,A1DPHNS3EIXO4N,5
B000231EKA,A3ML5ZA4T62OE0,1
B003PGRGGW,A2LSSZMICF04NI,5
B006ROJIBA,A18GJ9MYYO6GCQ,5
B004S6EBIO,A2Y5T1O43P14RP,3
B006CC12YI,A2NCPABI8G208V,5
B00ATWUDGU,A27BKXQAR305QL,4
B000E0DYOU,A3PGPOTK7PX1YP,3
B003H7B78M,A1YK60U182DCLH,5
B008B68IK4,AZIRQNN1YYSPB,4
B001DN8I0M,A1NA9N3FUUDYGD,5
B009ACHXPY,A2EMY0T93C0QFA,5
B00007E9BC,A23R7W3O36ZIEF,5
B002KYOI4S,A2LDHXTBUM9G6N,5
B00000DMC6,A2H0JUIZ6LSX14,4
B004PBJPNI,A2HXNQB6LBDQ0B,3
B0038ANO3O,A33U9CUX81CDLI,5
B000XTPNTQ,A1KDM0N4UCEPHA,3
B00G8FGRCG,ABJVSQBJ4G438,5
B00000JH41,AAL4LVT7I7LCN,3
B004OA7ZHS,A14BTJRH9VNLJJ,5
B006ROJI06,A3RTNA9THAU2OP,5
B003ZFSOZU,A1YDNNH84UHU2N,2
B004088O4C,A1LPTSTVZJ21PD,5
B003SRGOXY,A2EHQDD4X4SLRJ,5
B00A852QVI,AFTFND8CPQ34M,5
B000EULXG6,AAH603Y3Y8QL7,1
B0091390IA,A200A0A9EB4WTH,4
B000A6L6WK,A2QULJQETCF6RV,4
B000N178E2,A375Z0QYIONDW,5
B00F5Y4AKC,A3RGN75LHYAG8U,4
B001CSM07U,A316E87D0B9MQW,5
B007X9DRWO,AGGAQLXPVGM5D,1
B0016H9ROQ,A1WS73LUNLY5OE,5
B00A88DRYU,A1U6M8VJHK2ECA,5
B002WBBZYK,A9QIL0YJ3HT5,4
B003NUSGS2,A1479H6H2OII5G,5
B000UEDTWC,A1Y4LW3U3U73EP,3
B00AO0BQAY,A29534U2P9CLNR,4
B0057QVRL8,AQ6WF7IT455M7,5
B0084JUNXS,A1SN0GF90DLUHI,5
B0070A9OUA,A1X3WDXUB0C7EI,5
B00000ISC5,A79WII0X5ZOU5,5
B001613Q8A,A3NEAETOSXDBOM,5
B001GN3FXY,A13G1TKIKHGV3F,3
B001Q5EXTM,A3HPWCO03NENL4,4
B00C18BWYW,AOI2MD752ZWFU,4
B001T1ICWC,A2YIRW1AMF0TS5,5
B0090H0RKW,A1RCPSZ3KBEQN7,3
B004A8ZRBA,A1GJ7UYEX30TPU,2
B007RKZJ1G,ACH3XM6K1M4AK,4
B00000IRYI,A1W7TOV3F9AQJS,5
B009SL3V7Q,A39C06KHFPZITX,5
B001W3HY8K,A1UUUEFB2HH5L9,5
B0036UXHK6,AYIRKYTTQYZ6U,4
B005JR5PNQ,A2WU1G927BVA3H,5
B000641DPQ,A20WLZXTRI3EZ4,4
B00BSWS650,A2FBWEA9K80ZPA,2
B007J3F99S,A3DZFEICHK5LF2,2
B0090HDMW2,A2DXC636YA1Q3F,3
B000F8T026,AY68U1SJ0UB8B,3
B001ESQTUM,A36HE758XHWOJ9,5
B003MU32NW,A34W3C38EAN5WL,5
B00B2AYLYS,A2KFWHHUFVKFXZ,4
B00ATWSQQ4,A3GMRYV7VAYK5Q,5
B004PBOLVO,A2LSQ7QI6TC28V,5
B0089RPUHO,A10QFJFUFGYRF8,5
B001VFYUHW,A2QCTTDREL66ZR,5
B000284ZNI,A2HSQM5KNHX9XL,5
B004I8V6ZS,A1BMG34CO5CMZ5,4
B004FKTRPA,AOQ2IB802NXAQ,4
B0006N5F7O,A3PVYF54L8GS61,5
B009TQA8OY,A9CSNWX6YDSF2,5
B0090I53LY,A16KBBXGCY2BE1,4
B006CC09UG,A391NWGHB689O6,5
B00EDBYB4S,A14Z0Q1DU6CBJJ,4
B000F9IV8Y,A3OXRFCJI67IMN,5
B00ERZNRO0,A16WZ0YHCR06MC,4
B0042HOU2G,A1HSO4GII3EF70,5
B004U53AA8,A19D3N662QS9WD,5
B009AFNTCC,A3EM243NDJ4DF3,5
B003AP4JPE,A3O6CP5TT54LJE,3
B00BD9BXBM,AYUF7YETYOLNX,5
B000FMLVMO,A18P98QS2M3K6Z,5
B003A09ZKS,A2XNKMGEYHLUK7,3
B001YIT1YI,A1L6PD52EJ98IK,5
B000N40SDC,A226GFM0Q9L37H,5
B000WO7Y12,A2NC23RL8SVGAL,5
B004KZ8P2Q,A3FMPT5IH0CJ50,5
